Date,direction,strategy,entry,risk,action,confidence,future_ret
2014-02-07,downtrend,neutral,bad_entry,medium,hold,0.862,-0.0231
2014-02-10,downtrend,neutral,good_entry,medium,hold,0.599,-0.0149
2014-02-11,sideways,bear_trend,neutral_entry,medium,hold,0.331,0.0016
2014-02-12,sideways,bear_trend,neutral_entry,medium,hold,0.467,-0.0084
2014-02-13,sideways,bear_trend,neutral_entry,medium,hold,0.421,0.0011
2014-02-14,sideways,bear_trend,neutral_entry,medium,hold,0.411,0.0005
2014-02-17,sideways,bear_trend,neutral_entry,medium,hold,0.505,-0.0052
2014-02-18,sideways,bear_trend,neutral_entry,medium,hold,0.494,-0.0047
2014-02-19,sideways,bear_trend,neutral_entry,medium,hold,0.463,0.0032
2014-02-20,sideways,bear_trend,neutral_entry,medium,hold,0.526,-0.0063
2014-02-21,sideways,bear_trend,neutral_entry,medium,hold,0.526,-0.0063
2014-02-24,uptrend,bear_trend,neutral_entry,medium,hold,0.906,0.0253
2014-02-25,uptrend,bear_trend,neutral_entry,medium,hold,0.795,0.0248
2014-02-26,uptrend,bear_trend,bad_entry,medium,hold,0.95,0.0391
2014-02-28,uptrend,neutral,bad_entry,medium,hold,0.95,0.0619
2014-03-03,uptrend,neutral,bad_entry,medium,hold,0.95,0.0585
2014-03-04,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0281
2014-03-05,uptrend,neutral,good_entry,medium,hold,0.846,0.0223
2014-03-06,uptrend,overbought_avoid,good_entry,extreme,avoid,0.546,0.0123
2014-03-07,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.431,-0.0066
2014-03-10,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.816,0.0258
2014-03-11,uptrend,overbought_avoid,neutral_entry,high,reduce_exposure,0.95,0.0349
2014-03-12,sideways,overbought_avoid,good_entry,high,avoid,0.462,0.0081
2014-03-13,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.715,0.0207
2014-03-14,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.95,0.0493
2014-03-18,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.95,0.0409
2014-03-19,uptrend,overbought_avoid,good_entry,extreme,avoid,0.632,0.0166
2014-03-20,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.0624
2014-03-21,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.0654
2014-03-24,uptrend,overbought_avoid,good_entry,high,reduce_exposure,0.449,0.0174
2014-03-25,uptrend,overbought_avoid,good_entry,extreme,avoid,0.555,0.0227
2014-03-26,uptrend,sell_premium,good_entry,high,reduce_exposure,0.946,0.0423
2014-03-27,uptrend,sell_premium,good_entry,high,reduce_exposure,0.707,0.0303
2014-03-28,sideways,sell_premium,good_entry,high,hold,0.258,-0.0079
2014-03-31,uptrend,sell_premium,good_entry,extreme,avoid,0.562,0.0181
2014-04-01,downtrend,sell_premium,bad_entry,extreme,avoid,0.431,-0.0116
2014-04-02,sideways,sell_premium,bad_entry,extreme,avoid,0.311,-0.0055
2014-04-03,sideways,sell_premium,bad_entry,extreme,avoid,0.393,-0.0097
2014-04-04,uptrend,sell_premium,good_entry,extreme,avoid,0.435,0.0117
2014-04-07,sideways,sell_premium,neutral_entry,extreme,avoid,0.35,0.0075
2014-04-09,sideways,sell_premium,good_entry,extreme,avoid,0.284,0.0042
2014-04-10,downtrend,sell_premium,neutral_entry,extreme,avoid,0.443,-0.0172
2014-04-11,downtrend,sell_premium,neutral_entry,extreme,avoid,0.416,-0.0158
2014-04-15,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.517,-0.0209
2014-04-16,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.49,-0.0195
2014-04-17,downtrend,sell_premium,bad_entry,high,reduce_exposure,0.417,-0.0159
2014-04-21,sideways,sell_premium,neutral_entry,high,hold,0.128,0.0014
2014-04-22,sideways,neutral,neutral_entry,high,hold,0.189,-0.0033
2014-04-23,sideways,neutral,neutral_entry,high,hold,0.228,0.0019
2014-04-24,sideways,bull_trend,neutral_entry,high,hold,0.487,-0.0099
2014-04-25,sideways,neutral,neutral_entry,medium,hold,0.276,-0.0038
2014-04-28,downtrend,bull_trend,bad_entry,medium,hold,0.95,-0.0339
2014-04-29,downtrend,neutral,neutral_entry,medium,hold,0.887,-0.0294
2014-04-30,downtrend,bull_trend,bad_entry,medium,hold,0.725,-0.0213
2014-05-02,uptrend,neutral,bad_entry,medium,hold,0.74,0.022
2014-05-05,uptrend,neutral,bad_entry,medium,hold,0.95,0.0609
2014-05-06,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.101
2014-05-07,uptrend,oversold_watch,bad_entry,extreme,avoid,0.95,0.0927
2014-05-08,uptrend,neutral,good_entry,high,reduce_exposure,0.95,0.1053
2014-05-09,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1184
2014-05-12,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0964
2014-05-13,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.1068
2014-05-14,uptrend,bull_trend,good_entry,high,reduce_exposure,0.95,0.1112
2014-05-15,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0957
2014-05-16,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.095
2014-05-19,uptrend,overbought_avoid,good_entry,extreme,avoid,0.95,0.0483
2014-05-20,uptrend,overbought_avoid,good_entry,extreme,avoid,0.429,0.016
2014-05-21,sideways,overbought_avoid,good_entry,extreme,avoid,0.164,0.0032
2014-05-22,sideways,overbought_avoid,good_entry,extreme,avoid,0.156,-0.0028
2014-05-23,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.95,-0.0676
2014-05-26,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.56,-0.023
2014-05-27,downtrend,overbought_avoid,bad_entry,extreme,avoid,0.36,-0.013
2014-05-28,sideways,overbought_avoid,neutral_entry,extreme,avoid,0.196,-0.0048
2014-05-29,uptrend,overbought_avoid,neutral_entry,extreme,avoid,0.396,0.0148
2014-05-30,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.05
2014-06-02,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.097
2014-06-03,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0854
2014-06-04,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0765
2014-06-05,uptrend,sell_premium,good_entry,extreme,avoid,0.95,0.0753
