dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
1.011,2444400,14.709,6.46,0.328,801675,1,3.827,0.692,0.732,0.381,0.631,4.85,0.411,2.506,15.628,0.765,390961,12.876,2.838,5,0.2484,39.4,-0.0461,17.449,21,1,15860.349609375,15700,2021-06-25,1,0.0,1,0.0,1,0.0,0,0.126,-0.5,-1.27
0.881,3189750,14.975,8.43,0.361,1151475,1,0.123,0.692,0.732,0.381,1.261,3.98,0.337,2.377,15.841,0.765,441920,12.999,3.208,6,0.204,32.35,-0.0461,17.449,21,0,15860.349609375,16000,2021-06-25,1,0.0,1,0.0,1,0.0,1,0.0,11.2,34.61
1.99,2808075,14.848,5.535,0.3459,971325,1,18.026,0.629,0.847,0.093,1.897,1.71,0.111,2.43,15.736,0.63,246159,12.414,1.393,5,0.062,9.8,-0.5004,17.742,21,1,15814.7001953125,15500,2021-06-28,1,0.0,1,0.0,1,0.0,1,0.0,5.0,50.97
1.172,5211525,15.466,10.272,0.3879,2021775,1,0.089,0.629,0.847,0.093,1.265,3.69,0.239,2.212,16.26,0.63,658189,13.397,3.724,6,0.1337,21.15,-0.5004,17.742,21,0,15814.7001953125,16000,2021-06-28,1,0.0,1,0.0,1,0.0,1,0.0,15.15,71.6
1.578,3283350,15.004,5.505,0.1448,475275,1,16.671,0.582,0.812,-0.327,1.905,1.03,0.074,2.323,15.847,0.464,361206,12.797,1.51,5,0.0305,4.8,-0.7689,17.904,21,1,15748.4501953125,15500,2021-06-29,1,0.0,1,0.0,1,0.0,1,0.0,2.2,45.74
0.962,5929500,15.595,9.942,0.283,1677975,1,0.105,0.582,0.812,-0.327,0.635,3.55,0.253,2.743,16.604,0.464,851590,13.655,3.561,7,0.1051,16.55,-0.7689,17.904,21,0,15748.4501953125,15900,2021-06-29,1,0.0,1,0.0,1,0.0,1,0.0,12.0,72.46
1.409,3217275,14.984,5.361,-0.0205,-66075,0,21.742,0.604,0.882,-0.181,1.59,1.0,0.073,2.269,15.803,0.506,351098,12.769,1.142,5,0.0165,2.6,-0.8532,17.91,21,1,15721.5,15500,2021-06-30,1,0.0,1,0.0,1,0.0,1,0.0,2.5,95.79
1.135,6574200,15.699,10.954,0.0981,644700,1,0.068,0.604,0.882,-0.181,0.954,1.38,0.101,2.707,16.695,0.506,1223656,14.017,3.981,5,0.0289,4.55,-0.8532,17.91,21,0,15721.5,15900,2021-06-30,1,0.0,1,0.0,1,0.0,1,0.0,4.4,96.49
1.148,2862525,14.867,5.973,-0.1239,-354750,0,36.384,0.604,0.85,-0.128,1.276,1.0,0.215,2.259,15.682,0.531,359738,12.793,0.722,5,0.0006,0.1,0.0746,17.685,21,1,15680.0,15500,2021-07-01,1,0.0,1,0.0,1,0.0,1,0.0,-14.7,-13363.64
0.765,3728175,15.131,7.779,-0.4962,-1849800,0,0.151,0.604,0.85,-0.128,0.638,1.0,0.215,3.47,16.376,0.531,1975906,14.497,3.967,8,0.001,0.15,0.0746,17.685,21,0,15680.0,15800,2021-07-01,1,0.0,0,0.219,0,0.219,0,0.508,-41.9,-26187.5
1.413,2736600,14.822,6.498,0.2473,676800,1,12.419,0.752,0.868,0.141,1.272,1.84,0.184,2.405,15.7,0.781,400613,12.901,2.226,5,0.0941,14.8,-0.125,17.556,21,1,15722.2001953125,15500,2021-07-02,1,0.0,1,0.0,1,0.0,1,0.0,9.7,65.5
0.495,4226550,15.257,10.035,0.2781,1175250,1,0.25,0.752,0.868,0.141,0.636,5.22,0.521,2.287,16.084,0.781,631216,13.355,3.507,4,0.2675,42.05,-0.125,17.556,21,0,15722.2001953125,15800,2021-07-02,0,0.218,0,0.218,0,0.507,0,0.507,-37.65,-89.51
0.848,4905450,15.406,9.493,0.4378,2147475,1,4.266,0.933,0.843,0.217,0.632,3.29,0.299,2.43,16.294,1.083,556079,13.229,3.306,3,0.119,18.85,1.0,17.761,21,1,15834.349609375,15700,2021-07-05,1,0.0,1,0.0,1,0.0,0,0.064,2.55,13.52
1.046,4351800,15.286,8.421,0.2674,1163475,1,0.08,0.933,0.843,0.217,1.263,1.61,0.146,2.323,16.129,1.083,418201,12.944,2.486,4,0.0584,9.25,1.0,17.761,21,0,15834.349609375,16000,2021-07-05,1,0.0,1,0.0,1,0.0,1,0.0,3.35,36.18
0.748,4131525,15.234,6.947,-0.1873,-773925,0,5.486,0.694,0.859,0.115,0.632,3.49,0.298,2.67,16.216,0.69,627509,13.35,2.257,4,0.103,16.3,-1.0,17.901,21,1,15818.25,15700,2021-07-06,1,0.0,1,0.0,0,0.064,0,0.064,9.65,59.17
1.149,6611625,15.704,11.118,0.3418,2259825,1,0.062,0.694,0.859,0.115,1.264,1.26,0.108,2.319,16.545,0.69,1025193,13.84,3.687,4,0.0373,5.9,-1.0,17.901,21,0,15818.25,16000,2021-07-06,1,0.0,1,0.0,1,0.0,1,0.0,1.25,21.15
0.502,6225900,15.644,9.36,0.4398,2738175,1,2.455,0.917,0.923,0.187,0.315,5.03,0.416,2.774,16.665,1.026,1659574,14.322,5.417,3,0.1052,16.7,1.0,18.013,21,1,15879.650390625,15800,2021-07-07,0,0.454,0,0.694,0,0.694,0,0.694,-59.7,-357.27
0.758,6776475,15.729,10.187,0.0243,164850,1,0.051,0.917,0.923,0.187,0.945,1.4,0.116,2.429,16.616,1.026,852677,13.656,2.783,4,0.0293,4.65,1.0,18.013,21,0,15879.650390625,16000,2021-07-07,1,0.0,1,0.0,1,0.0,1,0.0,4.5,96.57
2.721,2356725,14.673,5.035,-0.289,-681150,0,191.588,0.603,0.906,-0.141,2.861,1.0,0.201,1.318,14.949,0.537,147691,11.903,0.225,6,0.0006,0.1,-0.7677,17.661,21,1,15727.900390625,15300,2021-07-08,1,0.0,1,0.0,1,0.0,1,0.0,-7.85,-7136.36
0.458,4802850,15.385,10.262,0.472,2267175,1,0.245,0.603,0.906,-0.141,0.318,1.0,0.201,2.864,16.437,0.537,2919293,14.887,4.456,6,0.0013,0.2,-0.7677,17.661,21,0,15727.900390625,15800,2021-07-08,1,0.0,1,0.0,0,0.079,0,0.79,-50.05,-23833.33
0.572,2955075,14.899,5.577,0.4709,1391625,1,2.462,0.653,0.894,-0.065,0.637,5.42,0.478,2.616,15.861,0.501,774268,13.56,3.722,5,0.2776,43.55,-0.2508,17.785,21,1,15689.7998046875,15600,2021-07-09,1,0.0,1,0.0,1,0.0,1,0.0,11.55,26.52
0.702,4876725,15.4,9.204,0.2903,1415625,1,0.238,0.653,0.894,-0.065,0.637,6.25,0.551,2.437,16.291,0.501,728356,13.499,3.501,6,0.3203,50.25,-0.2508,17.785,21,0,15689.7998046875,15800,2021-07-09,1,0.0,0,0.079,0,0.344,0,0.792,17.9,35.61
0.59,2846625,14.862,4.818,-0.0381,-108450,0,2.921,0.582,0.915,-0.047,0.637,5.63,0.438,2.734,15.868,0.454,729652,13.5,2.869,7,0.2039,32.0,-0.7314,17.894,21,1,15692.599609375,15600,2021-07-12,1,0.0,1,0.0,1,0.0,1,0.0,23.35,72.95
0.684,6710700,15.719,11.359,0.2733,1833975,1,0.164,0.582,0.915,-0.047,0.637,5.69,0.443,2.574,16.665,0.454,1096077,13.907,4.31,5,0.2061,32.35,-0.7314,17.894,21,0,15692.599609375,15800,2021-07-12,0,0.079,0,0.344,0,0.791,0,0.791,-29.25,-90.39
0.711,5232525,15.47,8.198,0.4021,2104125,1,2.927,0.735,0.852,0.078,0.632,4.14,0.343,2.43,16.358,0.888,928538,13.741,3.696,4,0.1224,19.35,1.0,17.972,21,1,15812.349609375,15700,2021-07-13,1,0.0,1,0.0,1,0.0,0,0.429,11.25,58.11
1.187,5388000,15.5,8.441,0.1974,1063425,1,0.059,0.735,0.852,0.078,1.265,1.0,0.083,2.506,16.418,0.888,553480,13.224,2.203,7,0.0253,4.0,1.0,17.972,21,0,15812.349609375,16000,2021-07-13,1,0.0,1,0.0,1,0.0,1,0.0,1.35,33.67
0.34,5901825,15.591,8.72,0.3997,2359050,1,2.178,0.945,0.886,0.34,0.0,6.56,0.546,2.87,16.645,1.19,1619472,14.298,4.731,5,0.1372,21.75,1.0,18.03,21,1,15853.9501953125,15800,2021-07-14,1,0.0,1,0.0,0,0.3,0,1.059,21.6,99.26
0.921,5994900,15.606,8.858,0.1012,606900,1,0.053,0.945,0.886,0.34,1.262,1.0,0.083,2.398,16.481,1.19,917728,13.73,2.681,4,0.0167,2.65,1.0,18.03,21,0,15853.9501953125,16000,2021-07-14,1,0.0,1,0.0,1,0.0,1,0.0,2.5,93.98
0.78,4187325,15.248,8.718,-0.4094,-1714500,0,2.345,0.872,0.986,0.152,0.628,1.0,0.204,2.488,16.159,1.073,1751027,14.376,3.214,3,0.0009,0.15,0.1654,17.687,21,1,15924.2001953125,15800,2021-07-15,1,0.0,0,0.299,0,1.054,0,1.054,-30.8,-19250.0
0.476,4425975,15.303,9.215,-0.3545,-1568925,0,0.116,0.872,0.986,0.152,0.628,1.0,0.204,2.935,16.38,1.073,2473245,14.721,4.54,5,0.0009,0.15,0.1654,17.687,21,0,15924.2001953125,16000,2021-07-15,1,0.0,1,0.0,1,0.0,1,0.0,-43.85,-27406.25
0.775,3051225,14.931,7.045,0.163,497400,1,4.594,0.826,0.92,0.147,0.628,3.8,0.383,2.717,15.931,0.896,478191,13.078,2.811,5,0.1944,30.95,-0.1621,17.584,21,1,15923.400390625,15800,2021-07-16,0,0.299,0,1.054,0,1.054,0,1.054,-59.65,-192.67
0.481,4004850,15.203,9.247,0.4895,1960425,1,0.228,0.826,0.92,0.147,0.628,5.4,0.544,2.367,16.065,0.896,749364,13.527,4.405,5,0.2763,44.0,-0.1621,17.584,21,0,15923.400390625,16000,2021-07-16,1,0.0,1,0.0,1,0.0,1,0.0,36.0,81.8
0.333,2976375,14.906,5.21,0.1092,325050,1,2.039,0.599,0.916,-0.302,0.635,7.64,0.637,2.782,15.93,0.524,970122,13.785,3.716,5,0.2765,43.55,-1.0,17.861,21,1,15752.400390625,15700,2021-07-19,0,0.431,0,0.431,0,0.431,0,0.431,-39.55,-90.79
1.572,5088225,15.442,8.906,0.2129,1083375,1,0.071,0.599,0.916,-0.302,1.27,1.4,0.117,2.458,16.342,0.524,679551,13.429,2.603,7,0.0508,8.0,-1.0,17.861,21,0,15752.400390625,16000,2021-07-19,1,0.0,1,0.0,1,0.0,1,0.0,4.45,55.56
