strike,expiry,spot,atm,moneyness,ce_ltp,ce_oi,ce_chng_oi,ce_volume,ce_iv,ce_bid,ce_ask,ce_delta,ce_theta,ce_gamma,ce_vega,pe_ltp,pe_oi,pe_chng_oi,pe_volume,pe_iv,pe_bid,pe_ask,pe_delta,pe_theta,pe_gamma,pe_vega
43000,26-May-2026,54055.35,54100,ITM,0.0,1,0,0,0.0,0,0,0,0,0,0,1.05,5665,34,4546,71.41,0,0,0,0,0,0
43500,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.25,1136,173,474,69.08,0,0,0,0,0,0
44000,26-May-2026,54055.35,54100,ITM,0.0,42,0,0,81.52,0,0,0,0,0,0,1.45,3978,222,726,66.59,0,0,0,0,0,0
44500,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.75,294,-2,121,64.3,0,0,0,0,0,0
45000,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,2.05,3556,17,2909,61.82,0,0,0,0,0,0
45300,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.45,125,-9,32,57.92,0,0,0,0,0,0
45400,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.8,238,9,30,58.39,0,0,0,0,0,0
45500,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,2.0,162,-21,117,58.29,0,0,0,0,0,0
45600,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.5,87,0,31,56.11,0,0,0,0,0,0
45700,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.4,71,0,27,55.11,0,0,0,0,0,0
45800,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.85,100,0,6,55.86,0,0,0,0,0,0
45900,26-May-2026,54055.35,54100,ITM,0.0,0,0,0,0.0,0,0,0,0,0,0,1.65,78,0,11,54.61,0,0,0,0,0,0
46000,26-May-2026,54055.35,54100,ITM,8288.95,676,-155,164,107.06,0,0,0,0,0,0,2.0,2039,-118,908,54.93,0,0,0,0,0,0
